source_dataset,file_id,path_type,relative_path,exists
ORIGA,001,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/001.jpg,True
ORIGA,001,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/001.png,True
ORIGA,002,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/002.jpg,True
ORIGA,002,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/002.png,True
ORIGA,003,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/003.jpg,True
ORIGA,003,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/003.png,True
ORIGA,004,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/004.jpg,True
ORIGA,004,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/004.png,True
ORIGA,005,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/005.jpg,True
ORIGA,005,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/005.png,True
ORIGA,006,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/006.jpg,True
ORIGA,006,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/006.png,True
ORIGA,007,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/007.jpg,True
ORIGA,007,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/007.png,True
ORIGA,008,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/008.jpg,True
ORIGA,008,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/008.png,True
ORIGA,009,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/009.jpg,True
ORIGA,009,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/009.png,True
ORIGA,010,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/010.jpg,True
ORIGA,010,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/010.png,True
ORIGA,011,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/011.jpg,True
ORIGA,011,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/011.png,True
ORIGA,012,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/012.jpg,True
ORIGA,012,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/012.png,True
ORIGA,013,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/013.jpg,True
ORIGA,013,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/013.png,True
ORIGA,014,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/014.jpg,True
ORIGA,014,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/014.png,True
ORIGA,015,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/015.jpg,True
ORIGA,015,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/015.png,True
ORIGA,016,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/016.jpg,True
ORIGA,016,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/016.png,True
ORIGA,017,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/017.jpg,True
ORIGA,017,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/017.png,True
ORIGA,018,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/018.jpg,True
ORIGA,018,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/018.png,True
ORIGA,019,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/019.jpg,True
ORIGA,019,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/019.png,True
ORIGA,020,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/020.jpg,True
ORIGA,020,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/020.png,True
ORIGA,021,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/021.jpg,True
ORIGA,021,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/021.png,True
ORIGA,022,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/022.jpg,True
ORIGA,022,mask,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Masks/022.png,True
ORIGA,023,image,data/external/kaggle/glaucoma_fundus_imaging_bundle/ORIGA/Images/023.jpg,True
